Time;Amplitude
158.90823364;2.49019599
158.91229248;2.58823538
158.91638184;2.45098042
158.91638184;2.54901958
158.92044067;2.70588231
158.92454529;2.50980401
158.92872620;2.49019599
158.92872620;2.54901958
158.93273926;2.52941179
158.93687439;2.41176462
158.94094849;2.60784316
158.94503784;2.52941179
158.94914246;2.54901958
158.94914246;2.58823538
158.95323181;2.45098042
158.95732117;2.50980401
158.96147156;2.56862736
158.96147156;2.50980401
158.96551514;2.47058821
158.96961975;2.41176462
158.97373962;2.49019599
158.97373962;2.35294127
158.97782898;2.39215684
158.98191833;2.49019599
158.98599243;2.37254906
158.99009705;2.39215684
158.99420166;2.45098042
158.99420166;2.29411769
158.99829102;2.37254906
159.00234985;2.35294127
159.00648499;2.13725495
159.00648499;2.21568632
159.01057434;2.21568632
159.01466370;2.09803915
159.01876831;2.23529410
159.01876831;2.37254906
159.02285767;2.37254906
159.02699280;2.31372547
159.03106689;2.31372547
159.03514099;2.13725495
159.03926086;2.27450991
159.03926086;2.37254906
159.04336548;2.21568632
159.04743958;2.37254906
159.05154419;2.52941179
159.05154419;2.43137264
159.05564880;2.37254906
159.05969238;2.50980401
159.06384277;2.56862736
159.06384277;2.43137264
159.06791687;2.47058821
159.07200623;2.54901958
159.07614136;2.39215684
159.08021545;2.43137264
159.08432007;2.35294127
159.08432007;2.27450991
159.08845520;2.17647052
159.09252930;2.15686274
159.09661865;2.03921580
159.09661865;2.11764717
159.10069275;2.25490189
159.10478210;2.17647052
159.10888672;2.25490189
159.10888672;2.39215684
159.11299133;2.47058821
159.11709595;2.47058821
159.12120056;2.60784316
159.12527466;2.52941179
159.12944031;2.62745094
159.12944031;2.56862736
159.13348389;2.45098042
159.13752747;2.52941179
159.14167786;2.64705873
159.14167786;2.56862736
159.14575195;2.50980401
159.14984131;2.50980401
159.15397644;2.56862736
159.15397644;2.39215684
159.15808105;2.49019599
159.16217041;2.54901958
159.16625977;2.41176462
159.17034912;2.49019599
159.17443848;2.47058821
159.17443848;2.37254906
159.17852783;2.43137264
159.18261719;2.50980401
159.18673706;2.45098042
159.18673706;2.49019599
159.19082642;2.62745094
159.19488525;2.52941179
159.19902039;2.56862736
159.19902039;2.68627453
159.20309448;2.56862736
159.20721436;2.54901958
159.21130371;2.62745094
159.21543884;2.41176462
159.21951294;2.64705873
159.21951294;2.74509811
159.22354126;2.58823538
159.22775269;2.64705873
159.23187256;2.70588231
159.23187256;2.62745094
159.23674011;2.62745094
159.24000549;2.84313726
159.24409485;2.76470590
159.24409485;2.68627453
159.24819946;2.70588231
159.25227356;2.74509811
159.25637817;2.47058821
159.26045227;2.52941179
159.26457214;2.41176462
159.26457214;2.35294127
159.26864624;2.27450991
159.27275085;2.39215684
159.27687073;2.21568632
159.27687073;2.23529410
159.28096008;2.21568632
159.28500366;2.11764717
159.28915405;2.07843137
159.28915405;2.05882359
159.29325867;2.05882359
159.29731750;2.09803915
159.30143738;2.29411769
159.30551147;2.25490189
159.30961609;2.25490189
159.30961609;2.25490189
159.31369019;2.13725495
159.31779480;2.13725495
159.32196045;2.25490189
159.32196045;2.29411769
159.32600403;2.31372547
159.33009338;2.47058821
159.33419800;2.49019599
159.33419800;2.29411769
159.33828735;2.45098042
159.34249878;2.43137264
159.34646606;2.29411769
159.35057068;2.35294127
159.35470581;2.31372547
159.35470581;2.27450991
159.35876465;2.37254906
159.36286926;2.33333325
159.36697388;2.23529410
159.36697388;2.29411769
159.37104797;2.25490189
159.37515259;2.27450991
159.37927246;2.39215684
159.37927246;2.56862736
159.38331604;2.52941179
159.38745117;2.49019599
159.39157104;2.70588231
159.39561462;2.58823538
159.39973450;2.62745094
159.39973450;2.76470590
159.40382385;2.70588231
159.40792847;2.72549009
159.41204834;2.80392146
159.41204834;2.78431368
159.41612244;2.78431368
159.42022705;2.92156863
159.42431641;2.90196085
159.42431641;2.84313726
159.42845154;2.84313726
159.43252563;2.94117641
159.43659973;2.74509811
159.44068909;2.70588231
159.44479370;2.62745094
159.44479370;2.50980401
159.44889832;2.41176462
159.45295715;2.37254906
159.45712280;2.23529410
159.45712280;2.39215684
159.46119690;2.49019599
159.46527100;2.47058821
159.46937561;2.49019599
159.46937561;2.58823538
159.47348022;2.58823538
159.47758484;2.64705873
159.48171997;2.80392146
159.48573303;2.82352948
159.48986816;3.00000000
159.48986816;2.92156863
159.49394226;2.72549009
159.49804688;2.74509811
159.50215149;2.74509811
159.50215149;2.66666675
159.50624084;2.70588231
159.51029968;2.68627453
159.51452637;2.74509811
159.51452637;2.64705873
159.51850891;2.74509811
159.52264404;2.86274505
159.52673340;2.74509811
159.53082275;2.62745094
159.53492737;2.52941179
159.53492737;2.35294127
159.53900146;2.35294127
159.54312134;2.23529410
159.54722595;2.07843137
159.54722595;2.07843137
159.55128479;2.15686274
159.55545044;2.07843137
159.55950928;2.11764717
159.55950928;2.23529410
159.56355286;2.11764717
159.56770325;2.13725495
159.57180786;2.07843137
159.57588196;2.03921580
159.58000183;2.19607854
159.58000183;2.33333325
159.58409119;2.27450991
159.58821106;2.37254906
159.59231567;2.47058821
159.59231567;2.47058821
159.59634399;2.45098042
159.60044861;2.52941179
159.60456848;2.56862736
159.60456848;2.49019599
159.60899353;2.52941179
159.61274719;2.72549009
159.61683655;2.60784316
159.62094116;2.76470590
159.62504578;2.60784316
159.62504578;2.54901958
159.62911987;2.27450991
159.63322449;2.13725495
159.63732910;1.98039210
159.63732910;1.94117641
159.64146423;1.96078432
159.64553833;1.86274505
159.64961243;1.88235295
159.64961243;2.01960778
159.65368652;2.00000000
159.65782166;2.09803915
159.66191101;2.41176462
159.66600037;2.23529410
159.67008972;2.37254906
159.67008972;2.52941179
159.67419434;2.25490189
159.67825317;2.35294127
159.68244934;2.45098042
159.68244934;2.43137264
159.68646240;2.56862736
159.69056702;2.62745094
