Time;Amplitude
334.14270020;2.13725495
334.14678955;2.49019599
334.15090942;2.37254906
334.15499878;2.52941179
334.15499878;2.74509811
334.15908813;2.62745094
334.16317749;2.33333325
334.16732788;2.31372547
334.16732788;2.45098042
334.17138672;2.39215684
334.17547607;2.58823538
334.17547607;2.82352948
334.17959595;2.86274505
334.18365479;2.78431368
334.18780518;2.76470590
334.18780518;2.72549009
334.19186401;2.47058821
334.19595337;2.41176462
334.20010376;2.45098042
334.20010376;2.17647052
334.20416260;2.19607854
334.20822144;2.31372547
334.21237183;2.01960778
334.21237183;1.96078432
334.21649170;2.15686274
334.22055054;2.15686274
334.22055054;2.11764717
334.22460938;2.31372547
334.22879028;2.47058821
334.23287964;2.45098042
334.23287964;2.66666675
334.23690796;2.66666675
334.24099731;2.52941179
334.24511719;2.49019599
334.24511719;2.47058821
334.24917603;2.56862736
334.25329590;2.41176462
334.25738525;2.60784316
334.25738525;2.78431368
334.26150513;2.76470590
334.26568604;2.84313726
334.26568604;2.82352948
334.26968384;2.78431368
334.27377319;2.68627453
334.27789307;2.76470590
334.27789307;2.72549009
334.28204346;2.50980401
334.28604126;2.54901958
334.29016113;2.62745094
334.29016113;2.47058821
334.29428101;2.56862736
334.29833984;2.68627453
334.30249023;2.58823538
334.30249023;2.54901958
334.30654907;2.58823538
334.31066895;2.60784316
334.31066895;2.41176462
334.31475830;2.52941179
334.31884766;2.86274505
334.32293701;2.62745094
334.32293701;2.56862736
334.32702637;2.50980401
334.33114624;2.33333325
334.33523560;1.96078432
334.33523560;1.76470590
334.33932495;1.84313726
334.34341431;1.98039210
334.34753418;2.09803915
334.34753418;2.17647052
334.35162354;2.09803915
334.35571289;2.37254906
334.35571289;2.07843137
334.35980225;1.70588231
334.36389160;1.64705884
334.36801147;1.76470590
334.36801147;1.90196073
334.37210083;1.84313726
334.37615967;2.09803915
334.38031006;2.21568632
334.38031006;2.19607854
334.38436890;2.19607854
334.38848877;2.37254906
334.39257813;2.35294127
334.39257813;2.50980401
334.39669800;2.80392146
334.40081787;3.00000000
334.40081787;3.15686274
334.40487671;3.09803915
334.40896606;2.84313726
334.41308594;2.56862736
334.41308594;2.49019599
334.41717529;2.11764717
334.42129517;1.98039210
334.42535400;2.39215684
334.42535400;2.49019599
334.42944336;3.07843137
334.43353271;2.60784316
334.43765259;2.80392146
334.43765259;2.84313726
334.44171143;2.41176462
334.44583130;2.39215684
334.44583130;2.60784316
334.44992065;2.70588231
334.45401001;2.72549009
334.45816040;3.07843137
334.45816040;3.17647052
334.46218872;3.00000000
334.46636963;2.88235283
334.47042847;2.96078420
334.47042847;2.84313726
334.47451782;2.80392146
334.47860718;2.80392146
334.48269653;2.88235283
334.48269653;2.84313726
334.48681641;2.84313726
334.49090576;2.88235283
334.49090576;2.68627453
334.49496460;2.78431368
334.49908447;2.64705873
334.50317383;2.43137264
334.50317383;2.49019599
334.50729370;2.66666675
334.51138306;2.70588231
334.51553345;2.72549009
334.51553345;2.72549009
334.51956177;2.68627453
334.52365112;2.74509811
334.52777100;2.66666675
334.52777100;2.78431368
334.53186035;2.84313726
334.53598022;2.98039222
334.53598022;3.11764717
334.54003906;3.01960778
334.54415894;2.90196085
334.54843140;2.80392146
334.54843140;2.78431368
334.55233765;2.62745094
334.55642700;2.68627453
334.56054688;2.64705873
334.56054688;2.49019599
334.56463623;2.52941179
334.56869507;2.49019599
334.57284546;2.37254906
334.57284546;2.37254906
334.57690430;2.50980401
334.58102417;2.58823538
334.58102417;2.58823538
334.58514404;2.47058821
