Time;Amplitude
216.02803040;3.15686274
216.03215027;2.29411769
216.03628540;1.43137252
216.03628540;1.76470590
216.04035950;2.84313726
216.04443359;3.64705873
216.04856873;2.92156863
216.05268860;1.84313726
216.05680847;1.25490201
216.05680847;2.00000000
216.06077576;2.94117641
216.06495667;3.86274505
216.06904602;3.50980401
216.06904602;2.47058821
216.07319641;1.41176474
216.07716370;1.41176474
216.08142090;2.33333325
216.08142090;3.31372547
216.08538818;3.96078420
216.08955383;3.19607854
216.09355164;1.50980389
216.09762573;1.84313726
216.10180664;2.82352948
216.10180664;3.86274505
216.10591125;3.90196085
216.11007690;2.98039222
216.11404419;2.01960778
216.11404419;1.37254906
216.11817932;2.11764717
216.12231445;3.03921580
216.12643433;3.96078420
216.12643433;3.58823538
216.13041687;2.74509811
216.13455200;1.60784316
216.13867188;2.52941179
216.14276123;3.47058821
216.14689636;3.88235283
216.14689636;2.96078420
216.15089417;2.21568632
216.15504456;1.31372547
216.15914917;1.76470590
216.15914917;2.90196085
216.16326904;3.84313726
216.16741943;3.92156863
216.17146301;3.03921580
216.17146301;2.15686274
216.17558289;1.84313726
216.17970276;2.82352948
216.17970276;3.50980401
216.18362427;4.27450991
216.18778992;3.90196085
216.19192505;2.86274505
216.19192505;1.80392158
216.19598389;1.86274505
216.20011902;2.88235283
216.20414734;3.98039222
216.20414734;4.41176462
216.20826721;3.49019599
216.21238708;2.50980401
216.21659851;1.82352936
216.21659851;2.27450991
216.22055054;3.17647052
216.22463989;4.05882359
216.22463989;3.84313726
216.22877502;2.80392146
216.23295593;1.54901958
216.23707581;0.94117647
216.23707581;1.90196073
216.24104309;2.80392146
216.24519348;3.56862736
216.24931335;3.15686274
216.24931335;2.13725495
216.25343323;1.01960790
216.25740051;0.98039216
216.26155090;1.84313726
216.26155090;3.17647052
216.26564026;3.84313726
216.26977539;2.86274505
216.26977539;1.70588231
216.27374268;1.01960790
216.27792358;1.66666663
216.28202820;2.74509811
216.28202820;3.92156863
216.28616333;3.64705873
216.29025269;2.78431368
216.29441833;1.70588231
216.29441833;1.25490201
216.29843140;2.52941179
216.30258179;4.33333349
216.30673218;4.98039198
216.30673218;4.98039198
216.31072998;4.92156839
216.31480408;4.66666651
216.31480408;4.98039198
216.31893921;4.98039198
216.32307434;4.98039198
216.32714844;4.78431368
216.32714844;3.23529410
216.33116150;1.92156863
216.33526611;0.90196079
216.33940125;1.41176474
216.33940125;2.29411769
216.34353638;3.13725495
216.34753418;2.98039222
216.35174561;1.78431368
216.35174561;1.23529410
216.35578918;1.09803927
216.35993958;2.03921580
216.35993958;2.96078420
216.36395264;3.56862736
216.36805725;3.17647052
216.37217712;2.19607854
216.37217712;1.05882359
216.37629700;1.23529410
216.38046265;2.13725495
216.38441467;3.05882359
216.38441467;3.50980401
216.38856506;2.64705873
216.39266968;1.82352936
216.39674377;1.54901958
216.40074158;2.58823538
216.40495300;3.74509811
216.40495300;3.45098042
216.40902710;2.60784316
216.41314697;1.45098042
216.41728210;1.00000000
216.41728210;1.94117641
216.42144775;2.96078420
216.42543030;3.74509811
216.42956543;3.31372547
216.42956543;2.25490189
216.43365479;1.50980389
216.43765259;1.74509799
216.44174194;3.70588231
216.44589233;4.03921556
216.44999695;3.33333325
216.44999695;2.58823538
216.45401001;2.00000000
216.45816040;2.33333325
216.46244812;3.31372547
216.46244812;4.29411745
216.46644592;4.07843161
216.47042847;3.11764717
216.47457886;2.37254906
216.47457886;2.00000000
216.47866821;2.96078420
216.48281860;4.01960802
216.48690796;4.07843161
216.49089050;3.17647052
216.49501038;2.05882359
216.49501038;2.23529410
216.49922180;3.35294127
216.50334167;4.50980377
216.50744629;4.84313726
216.50744629;4.01960802
216.51144409;3.17647052
216.51551819;2.33333325
216.51965332;2.92156863
216.51965332;4.11764717
216.52375793;4.98039198
216.52780151;4.72549009
216.53189087;2.47058821
216.53601074;1.98039210
216.54011536;2.82352948
216.54011536;3.80392146
216.54411316;4.52941179
216.54843140;3.84313726
216.55241394;2.88235283
216.55241394;1.78431368
216.55654907;1.86274505
216.56057739;2.56862736
216.56466675;3.27450991
216.56466675;3.13725495
216.56878662;1.96078432
216.57293701;1.03921568
216.57708740;0.98039216
216.58111572;1.66666663
216.58518982;2.41176462
216.58518982;2.05882359
216.58930969;1.09803927
216.59344482;0.13725491
216.59756470;0.05882353
216.59756470;0.86274511
216.60162354;1.86274505
216.60569763;2.72549009
216.60978699;2.03921580
216.60978699;1.01960790
216.61392212;0.00000000
216.61795044;0.33333334
216.62207031;2.17647052
216.62617493;2.52941179
216.63031006;1.72549021
216.63031006;0.86274511
216.63444519;0.19607843
216.63839722;0.82352942
216.64251709;1.58823526
216.64251709;2.68627453
216.64665222;2.37254906
216.65071106;1.23529410
216.65478516;0.41176471
216.65478516;0.29411766
216.65887451;1.33333337
216.66299438;2.19607854
216.66716003;2.50980401
216.67117310;1.60784316
216.67543030;0.62745100
216.67543030;0.76470590
216.67942810;1.76470590
216.68351746;2.94117641
216.68768311;3.05882359
216.68768311;2.17647052
216.69168091;1.17647064
216.69578552;0.54901963
216.69998169;1.43137252
216.69998169;2.47058821
216.70407104;3.41176462
216.70819092;3.15686274
216.70819092;2.31372547
216.71218872;1.29411769
216.71630859;1.01960790
216.72042847;1.54901958
216.72042847;2.49019599
216.72444153;3.62745094
216.72851563;2.88235283
216.73265076;1.90196073
216.73265076;0.90196079
216.73677063;1.13725495
216.74085999;1.86274505
216.74491882;2.94117641
216.74491882;3.27450991
216.74905396;2.37254906
216.75318909;1.56862748
216.75318909;0.70588237
216.75730896;1.43137252
216.76142883;2.45098042
216.76538086;3.50980401
216.76538086;3.09803915
216.76951599;2.13725495
216.77363586;1.01960790
216.77778625;0.96078432
216.77778625;1.90196073
216.78181458;2.86274505
216.78591919;3.52941179
216.79002380;2.88235283
216.79002380;2.01960778
216.79417419;1.15686274
216.79817200;1.31372547
216.79817200;2.23529410
216.80239868;3.00000000
216.80641174;3.54901958
216.81053162;2.84313726
216.81053162;1.90196073
216.81452942;1.17647064
216.81866455;1.80392158
216.82276917;2.84313726
216.82276917;3.84313726
216.82685852;3.35294127
216.83085632;2.37254906
216.83497620;1.35294116
216.83497620;1.11764705
216.83912659;2.07843137
216.84323120;3.21568632
216.84323120;3.92156863
216.84735107;3.23529410
216.85137939;2.27450991
216.85552979;1.27450979
216.85552979;1.45098042
216.85969543;2.23529410
216.86376953;3.39215684
216.86791992;3.54901958
216.86791992;3.05882359
216.87188721;2.25490189
216.87603760;1.35294116
216.88015747;2.07843137
216.88015747;2.94117641
216.88426208;3.60784316
216.88841248;3.39215684
216.88841248;2.45098042
216.89236450;1.64705884
216.89649963;1.66666663
216.90065002;2.64705873
216.90065002;3.74509811
216.90466309;4.23529434
216.90873718;3.70588231
216.91285706;2.74509811
216.91285706;1.80392158
216.91700745;2.01960778
216.92115784;2.82352948
216.92514038;4.37254906
216.92927551;3.37254906
216.93336487;2.37254906
216.93336487;1.70588231
216.93753052;2.19607854
216.94151306;2.68627453
216.94566345;3.74509811
216.94566345;3.68627453
216.94975281;2.88235283
216.95390320;1.68627453
216.95797729;1.60784316
216.95797729;2.37254906
216.96202087;3.39215684
216.96612549;3.92156863
216.97026062;1.98039210
216.97436523;1.21568632
216.97840881;1.56862748
216.97840881;2.56862736
216.98251343;3.64705873
216.98667908;3.80392146
216.99075317;2.68627453
216.99075317;1.64705884
216.99476624;1.07843137
216.99891663;1.94117641
217.00303650;3.68627453
217.00303650;4.98039198
217.00715637;4.98039198
217.01127625;4.84313726
217.01538086;4.98039198
217.01936340;4.98039198
217.02348328;4.98039198
217.02348328;4.92156839
217.02767944;3.66666675
217.03161621;2.29411769
217.03573608;1.25490201
217.03573608;1.41176474
