Time;Amplitude
365.89773560;2.19607854
365.90188599;2.25490189
365.90188599;2.64705873
365.90600586;2.86274505
365.91006470;2.74509811
365.91418457;2.70588231
365.91418457;2.98039222
365.91827393;2.64705873
365.92236328;2.33333325
365.92645264;2.17647052
365.93054199;2.50980401
365.93466187;2.64705873
365.93466187;2.45098042
365.93872070;2.56862736
365.94281006;2.52941179
365.94692993;2.37254906
365.94692993;2.01960778
365.95101929;2.13725495
365.95513916;2.39215684
365.95928955;2.25490189
365.95928955;2.35294127
365.96328735;2.54901958
365.96740723;2.56862736
365.97149658;2.39215684
365.97561646;2.41176462
365.97970581;2.31372547
365.97970581;2.35294127
365.98379517;2.41176462
365.98785400;2.45098042
365.99200439;2.70588231
365.99200439;2.31372547
365.99606323;2.47058821
366.00018311;2.25490189
366.00427246;2.05882359
366.00427246;1.90196073
366.00839233;1.74509799
366.01248169;1.82352936
366.01657104;1.84313726
366.02066040;1.94117641
366.02481079;2.00000000
366.02481079;2.05882359
366.02883911;2.05882359
366.03295898;2.29411769
366.03704834;2.64705873
366.03704834;2.43137264
366.04116821;2.49019599
366.04528809;2.80392146
366.04934692;2.54901958
366.04934692;2.41176462
366.05343628;2.47058821
366.05752563;2.33333325
366.06161499;2.21568632
366.06573486;2.33333325
366.06982422;2.23529410
366.06982422;2.39215684
366.07391357;2.62745094
366.07800293;2.56862736
366.08212280;2.58823538
366.08212280;2.78431368
366.08618164;2.80392146
366.09033203;2.60784316
366.09439087;2.90196085
366.09439087;3.09803915
366.09848022;2.96078420
366.10260010;3.15686274
366.10668945;3.33333325
366.11077881;3.25490189
366.11486816;3.23529410
366.11486816;3.11764717
366.11895752;2.68627453
366.12307739;2.52941179
366.12716675;2.39215684
366.12716675;1.98039210
366.13128662;2.17647052
366.13534546;2.33333325
366.13949585;2.35294127
366.13949585;2.37254906
366.14355469;2.35294127
366.14764404;2.50980401
366.15176392;2.52941179
366.15600586;2.41176462
366.15994263;2.33333325
366.15994263;2.49019599
366.16403198;2.62745094
366.16812134;2.52941179
366.17227173;2.74509811
366.17227173;2.94117641
366.17633057;2.90196085
366.18041992;2.88235283
366.18457031;2.74509811
366.18457031;2.80392146
366.18862915;2.35294127
366.19271851;2.17647052
366.19692993;1.92156863
366.20089722;1.94117641
366.20501709;2.09803915
366.20501709;2.17647052
366.20910645;2.27450991
366.21316528;2.66666675
366.21728516;2.52941179
366.21728516;2.35294127
366.22140503;2.49019599
366.22552490;2.41176462
366.22970581;2.01960778
366.22970581;2.00000000
366.23367310;2.09803915
366.23779297;2.19607854
366.24188232;2.43137264
366.24594116;2.64705873
366.25006104;2.72549009
366.25006104;3.00000000
366.25415039;3.19607854
366.25827026;2.62745094
366.26235962;2.72549009
366.26235962;2.66666675
366.26644897;2.41176462
366.27050781;2.03921580
366.27468872;2.15686274
366.27468872;2.45098042
366.27871704;2.25490189
366.28283691;2.39215684
366.28692627;2.37254906
366.29104614;2.43137264
366.29513550;2.60784316
366.29513550;2.70588231
366.29919434;3.05882359
366.30328369;3.23529410
366.30743408;3.09803915
366.30743408;2.92156863
366.31149292;2.86274505
366.31561279;2.58823538
366.31970215;2.13725495
366.31970215;2.05882359
366.32379150;2.19607854
366.32791138;2.21568632
366.33200073;2.45098042
366.33609009;2.47058821
366.34020996;2.11764717
366.34020996;2.27450991
366.34426880;2.52941179
366.34832764;2.56862736
366.35247803;2.72549009
366.35247803;2.82352948
366.35662842;2.66666675
366.36074829;2.84313726
366.36477661;2.78431368
366.36477661;2.62745094
366.36883545;2.58823538
366.37295532;2.90196085
366.37707520;2.50980401
366.38116455;2.68627453
366.38528442;2.43137264
366.38528442;2.07843137
366.38934326;1.88235295
366.39343262;2.01960778
366.39752197;2.11764717
366.39752197;1.96078432
366.40161133;2.33333325
366.40588379;2.52941179
366.40982056;2.49019599
366.40982056;2.56862736
366.41390991;2.80392146
366.41799927;2.82352948
366.42211914;2.98039222
366.42620850;3.23529410
